iter	Passed	Remaining
0	163	163537
1	173	86368
2	179	59724
3	185	46309
4	192	38248
5	198	32860
6	204	28982
7	210	26123
8	216	23840
9	222	22036
10	228	20536
11	234	19345
12	241	18306
13	247	17412
14	253	16648
15	259	15958
16	265	15364
17	271	14800
18	277	14306
19	282	13842
20	288	13453
21	294	13086
22	300	12754
23	306	12455
24	311	12160
25	318	11912
26	323	11674
27	330	11458
28	335	11236
29	341	11044
30	347	10853
31	353	10695
32	359	10536
33	365	10398
34	372	10269
35	378	10140
36	384	10004
37	390	9877
38	396	9760
39	401	9640
40	408	9547
41	415	9465
42	420	9368
43	426	9266
44	432	9168
45	437	9075
46	442	8982
47	448	8900
48	454	8818
49	460	8740
50	465	8658
51	471	8587
52	476	8516
53	482	8452
54	487	8380
55	493	8324
56	499	8260
57	505	8207
58	510	8143
59	516	8092
60	521	8034
61	527	7985
62	533	7933
63	539	7891
64	545	7849
65	552	7812
66	558	7779
67	564	7736
68	571	7705
69	576	7660
70	583	7632
71	588	7589
72	594	7553
73	600	7514
74	606	7476
75	612	7442
76	618	7408
77	624	7376
78	629	7342
79	635	7312
80	641	7276
81	647	7248
82	652	7211
83	659	7186
84	664	7153
85	670	7126
86	676	7097
87	682	7071
88	688	7044
89	693	7014
90	699	6985
91	705	6962
92	711	6937
93	716	6908
94	723	6888
95	729	6865
96	735	6842
97	740	6818
98	746	6796
99	752	6773
100	759	6756
101	764	6732
102	770	6707
103	775	6683
104	781	6659
105	786	6636
106	792	6610
107	797	6588
108	803	6563
109	808	6543
110	814	6522
111	820	6505
112	825	6483
113	831	6464
114	837	6441
115	842	6423
116	848	6402
117	854	6385
118	859	6364
119	865	6349
120	871	6328
121	877	6311
122	882	6293
123	888	6277
124	894	6259
125	899	6242
126	905	6225
127	911	6210
128	917	6191
129	922	6173
130	927	6154
131	933	6136
132	938	6118
133	944	6101
134	949	6085
135	955	6069
136	960	6053
137	966	6038
138	972	6023
139	977	6007
140	983	5991
141	988	5975
142	994	5960
143	999	5943
144	1005	5928
145	1010	5913
146	1016	5899
147	1021	5882
148	1027	5868
149	1032	5853
150	1038	5840
151	1043	5823
152	1049	5812
153	1055	5800
154	1062	5791
155	1070	5792
156	1077	5784
157	1084	5779
158	1091	5771
159	1097	5760
160	1103	5750
161	1110	5746
162	1117	5740
163	1124	5734
164	1131	5724
165	1137	5716
166	1144	5708
167	1150	5696
168	1156	5685
169	1162	5673
170	1167	5661
171	1173	5650
172	1179	5639
173	1185	5626
174	1190	5613
175	1196	5599
176	1201	5587
177	1206	5573
178	1212	5562
179	1218	5549
180	1224	5539
181	1229	5525
182	1235	5515
183	1240	5502
184	1246	5493
185	1252	5480
186	1258	5473
187	1264	5463
188	1270	5453
189	1276	5442
190	1282	5430
191	1287	5419
192	1293	5409
193	1299	5398
194	1305	5387
195	1311	5380
196	1318	5373
197	1324	5364
198	1330	5354
199	1336	5345
200	1342	5337
201	1348	5329
202	1355	5321
203	1361	5312
204	1367	5304
205	1374	5297
206	1380	5289
207	1386	5280
208	1392	5269
209	1397	5259
210	1403	5249
211	1410	5241
212	1416	5232
213	1422	5224
214	1427	5212
215	1433	5204
216	1439	5194
217	1445	5186
218	1452	5178
219	1457	5168
220	1463	5158
221	1469	5150
222	1475	5140
223	1481	5131
224	1487	5123
225	1493	5113
226	1498	5104
227	1504	5092
228	1509	5083
229	1515	5073
230	1521	5063
231	1526	5054
232	1532	5044
233	1537	5034
234	1543	5025
235	1549	5017
236	1555	5008
237	1562	5001
238	1567	4990
239	1573	4982
240	1579	4973
241	1585	4965
242	1590	4955
243	1597	4948
244	1603	4941
245	1609	4934
246	1616	4928
247	1623	4921
248	1629	4915
249	1636	4909
250	1642	4901
251	1648	4894
252	1655	4887
253	1662	4881
254	1668	4874
255	1674	4867
256	1681	4860
257	1686	4851
258	1692	4842
259	1698	4834
260	1704	4826
261	1710	4817
262	1716	4810
263	1721	4800
264	1727	4791
265	1732	4781
266	1738	4773
267	1744	4764
268	1749	4754
269	1755	4745
270	1760	4736
271	1766	4728
272	1772	4720
273	1778	4712
274	1784	4704
275	1790	4696
276	1795	4687
277	1801	4679
278	1807	4670
279	1812	4661
280	1818	4652
281	1824	4644
282	1829	4635
283	1835	4627
284	1840	4618
285	1846	4610
286	1852	4602
287	1858	4594
288	1863	4585
289	1869	4577
290	1875	4568
291	1881	4561
292	1886	4552
293	1892	4544
294	1898	4535
295	1903	4527
296	1909	4519
297	1914	4510
298	1920	4502
299	1926	4494
300	1932	4486
301	1937	4478
302	1942	4468
303	1948	4460
304	1953	4451
305	1959	4443
306	1964	4435
307	1970	4426
308	1976	4418
309	1981	4411
310	1987	4403
311	1992	4394
312	1998	4386
313	2003	4377
314	2009	4370
315	2014	4361
316	2020	4353
317	2026	4345
318	2031	4337
319	2037	4330
320	2043	4323
321	2049	4314
322	2054	4307
323	2060	4298
